"filename", "language", "C++", "XML", "Markdown", "Log", "JSON with Comments", "Python", "Lua", "Java", "C", "Toc", "HTML", "JavaScript", "Batch", "comment", "blank", "total"
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\stack.cpp", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\stackandqueue.cpp", "C++", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 154
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\stacklist0.1.cpp", "C++", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 109
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\stacklist0.11.cpp", "C++", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 118
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\struct point{.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\tlsf.cpp", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\tree0.1.cpp", "C++", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 15, 244
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\treenode.h", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 65
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\practice\trycatch.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\snake\snake.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_playing\Untitled-1.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_playing\Untitled-2.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_playing\tcs\MAIN.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_playing\tcs\fxxking.h", "C++", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 235
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_practice\DSbanzi\stack.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_practice\Untitled-1.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_practice\lianbiao.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 13, 102
"c:\Users\Zhao Yufeng\Documents\VSCode\C\C_practice\prac1.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"c:\Users\Zhao Yufeng\Documents\VSCode\HTML\1.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Zhao Yufeng\Documents\VSCode\HTML\JavaScript\1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Zhao Yufeng\Documents\VSCode\JAVA\abs.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Zhao Yufeng\Documents\VSCode\Projects\WowInterface\real\CTNmain.lua", "Lua", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 4, 13, 118
"c:\Users\Zhao Yufeng\Documents\VSCode\Projects\WowInterface\real\CoolingTimeNoti.toc", "Toc", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 1, 9
"c:\Users\Zhao Yufeng\Documents\VSCode\Python\1.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Zhao Yufeng\Documents\VSCode\Python\NLP\default.code-workspace", "JSON with Comments", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Zhao Yufeng\Documents\VSCode\Python\NLP\dict.py", "Python", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 7, 75
"c:\Users\Zhao Yufeng\Documents\VSCode\Python\NLP\trie.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
